playerid,position,firstname,lastname,av,playerpic,mugshotpic,apidataavailable,price,careerstat1,careerstat2,careerstat3,careerstat4,careerstat5,careerblurb
2,QB,Johnny,Manziel,5,/assets/playerPhotos/JohnnyManziel.png,/assets/playerPhotos/JohnnyManzielMugshot.png,TRUE,0,QB Record 2-6,Completion Percent - 57%,Total Yards - 1675,Touchdowns - 7,,
3,QB,Chad,Kelly,0,/assets/playerPhotos/ChadKelly.png,/assets/playerPhotos/ChadKellyMugshot.jpg,TRUE,0,QB Record 0-0,Completion Percent - 0%,Total Yards - -1,Touchdowns - 0,,
4,QB,Steve,McNair,126,/assets/playerPhotos/SteveMcNair.jpg,/assets/playerPhotos/SteveMcNairMugshot.jpg,TRUE,0,QB Record 91-62,Completion Percent - 60.1%,Total Yards - 31304,Touchdowns - 174,,
5,QB,Jake,Plummer,92,/assets/playerPhotos/JakePlummer.jpg,/assets/playerPhotos/JakePlummerMugshot.jpg,TRUE,0,QB Record 69-67,Completion Percent - 57.1%,Total Yards - 29253,Touchdowns - 161,,
6,QB,Daunte,Culpepper,97,/assets/playerPhotos/DaunteCulpepper.jpg,/assets/playerPhotos/DaunteCulpepperMugshot.jpg,TRUE,0,QB Record 41-59,Completion Percent - 63%,Total Yards - 24153,Touchdowns - 149,,
7,QB,Brian,Griese,61,/assets/playerPhotos/BrianGriese.jpg,/assets/playerPhotos/BrianGrieseMugshot.jpg,TRUE,0,QB Record 44-38,Completion Percent - 62.7%,Total Yards - 19440,Touchdowns - 119,,
8,QB,Michael,Vick,113,/assets/playerPhotos/MikeVick.jpg,/assets/playerPhotos/MikEVickMugshot.jpg,TRUE,0,QB Record61-51,Completion Percent - 56.2%,Total Yards - 22464,Touchdowns - 133,,
11,RB,Leonard,Fournette,11,/assets/playerPhotos/LeonardFournette.png,/assets/playerPhotos/LeonardFournetteMugshot.jpg,TRUE,0,Rushing Attempts - 414,Yards Per Attempt - 3.7,Total Yards - 1545,Touchdowns - 14,,
12,RB,Aaron,Jones,9,/assets/playerPhotos/AaronJones.png,/assets/playerPhotos/AaronJonesMugshot.jpg,TRUE,0,Rushing Attempts - 227,Yards Per Attempt - 5.4,Total Yards - 1215,Touchdowns - 12,,
13,RB,LeVeon,Bell,60,/assets/playerPhotos/Le’VeonBell.png,/assets/playerPhotos/Le’VeonBellMugshot.jpg,TRUE,0,Rushing Attempts - 1246,Yards Per Attempt - 4.3,Total Yards - 5396,Touchdowns - 35,,
14,RB,LeGarrette,Blount,46,/assets/playerPhotos/LeGarretteBlount.png,/assets/playerPhotos/LeGarretteBlountMugshot.jpg,TRUE,0,Rushing Attempts - 1495,Yards Per Attempt - 4.2,Total Yards - 6306,Touchdowns - 56,,
15,RB,Ray,Rice,70,/assets/playerPhotos/RayRice.png,/assets/playerPhotos/RayRiceMugshot.jpg,TRUE,0,Rushing Attempts - 1430,Yards Per Attempt - 4.3,Total Yards - 6180,Touchdowns - 37,,
16,RB,Marshawn,Lynch,90,/assets/playerPhotos/MarshawnLynch.jpg,/assets/playerPhotos/MarshawnLynchMugshot.jpg,TRUE,0,Rushing Attempts - 2441,Yards Per Attempt - 4.3,Total Yards - 10379,Touchdowns - 84,,
17,RB,Adrian,Peterson,115,/assets/playerPhotos/AdrianPeterson.png,/assets/playerPhotos/AdrianPetersonMugshot.jpg,TRUE,0,Rushing Attempts - 2825,Yards Per Attempt - 4.7,Total Yards - 13318,Touchdowns - 106,,
18,RB,Ricky,Williams,90,/assets/playerPhotos/RickyWilliams.png,/assets/playerPhotos/RickyWilliamsMugshot.jpg,TRUE,0,Rushing Attempts - 2431,Yards Per Attempt - 4.1,Total Yards - 10009,Touchdowns - 66,,
19,WR,Demaryius,Thomas,78,/assets/playerPhotos/DemaryiusThomas.png,/assets/playerPhotos/DemaryiusThomasMugshot.jpg,TRUE,0,Total Receptions - 688,Yards Per Reception - 13.6,Total Yards - 9330,Touchdowns - 62,,
20,WR,Robby,Anderson,17,/assets/playerPhotos/RobbyAnderson.png,/assets/playerPhotos/RobbyAndersonMugshot.jpg,TRUE,0,Total Receptions - 158,Yards Per Reception - 14.6,Total Yards - 2303,Touchdowns - 15,,
21,"WR,",Josh,Gordon,28,/assets/playerPhotos/JoshGordon.png,/assets/playerPhotos/JoshGordonMugshot.jpg,TRUE,0,Total Receptions - 223,Yards Per Reception - 17.5,Total Yards - 3899,Touchdowns - 20,,
22,WR,Chad,Johnson,104,/assets/playerPhotos/ChadJohnson.png,/assets/playerPhotos/ChadJohnsonMugshot.jpg,TRUE,0,Total Receptions - 766,Yards Per Reception - 14.4,Total Yards - 11059,Touchdowns - 67,,
23,WR,Dez,Bryant,71,/assets/playerPhotos/DezBryant.png,/assets/playerPhotos/DezBryantMugshot.jpg,TRUE,0,Total Receptions - 531,Yards Per Reception - 14,Total Yards - 7459,Touchdowns - 73,,
24,WR,Julian,Edelman,59,/assets/playerPhotos/JulianEdelman.png,/assets/playerPhotos/JulianEdelmanMugshot.jpg,TRUE,0,Total Receptions - 505,Yards Per Reception - 10.8,Total Yards - 5473,Touchdowns - 30,,
25,WR,Hines,Ward,118,/assets/playerPhotos/HinesWard.png,/assets/playerPhotos/HinesWardMugshot.jpg,TRUE,0,Total Receptions - 1000,Yards Per Reception - 12.1,Total Yards - 12083,Touchdowns - 85,,
26,WR,Donte,Stallworth,45,/assets/playerPhotos/DonteStallworth.png,/assets/playerPhotos/DonteStallworthMugshot.jpg,TRUE,0,Total Receptions - 321,Yards Per Reception - 15.1,Total Yards - 4837,Touchdowns - 35,,
27,WR,Plaxico,Burress,83,/assets/playerPhotos/PlaxicoBurress.png,/assets/playerPhotos/PlaxicoBurressMugshot.webp,TRUE,0,Total Receptions - 553,Yards Per Reception - 15.4,Total Yards - 8499,Touchdowns - 64,,
28,WR,Brandon,Marshall,105,/assets/playerPhotos/BrandonMarshall.png,/assets/playerPhotos/BrandonMarshallMugshot.jpg,TRUE,0,Total Receptions - 970,Yards Per Reception - 12.7,Total Yards - 12351,Touchdowns - 83,,
29,WR,Randy,Moss,161,/assets/playerPhotos/RandyMoss.png,/assets/playerPhotos/RandyMossMugshot.jpg,TRUE,0,Total Receptions - 982,Yards Per Reception - 15.6,Total Yards - 15292,Touchdowns - 156,,
30,WR,Andre,Rison,99,/assets/playerPhotos/AndreRison.jpg,/assets/playerPhotos/AndreRisonMugshot.jpg,TRUE,0,Total Receptions - 743,Yards Per Reception - 13.7,Total Yards - 10205,Touchdowns - 84,,
31,TE,Aaron,Hernandez,23,/assets/playerPhotos/AaronHernandez.png,/assets/playerPhotos/AaronHernandezMugshot.jpg,TRUE,0,Total Receptions - 175,Yards Per Reception - 11.2,Total Yards - 1956,Touchdowns - 18,,
